Date,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,address1,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,irWebsite,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,tradeable,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,quoteType,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,symbol,language,region,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,marketState,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,exchangeDataDelayedBy,averageAnalystRating,cryptoTradeable,hasPrePostMarketData,firstTradeDateMilliseconds,postMarketChangePercent,postMarketPrice,postMarketChange,regularMarketChange,regularMarketDayRange,fullExchangeName,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,shortName,longName,postMarketTime,regularMarketTime,exchange,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChangePercent,regularMarketPrice,displayName,trailingPegRatio
2003-01-02,16.438297271728516,16.44747688529265,15.823237482425455,16.003777275393055,67025200,One Microsoft Way,Redmond,WA,98052-6399,United States,425 882 8080,https://www.microsoft.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,228000,9,5,4,2,3,1759276800,1735603200,http://www.microsoft.com/investor/default.aspx,86400,2,519.71,517.64,510.6791,521.6,519.71,517.64,510.6791,521.6,3.64,0.7,1763596800,0.2375,0.81,1.023,38.174683,34.497658,21141671,21141671,20148990,21900260,21900260,515.58,516.12,3,1,3863090823168,344.79,555.45,555.45,0.088542,13.712324,512.8368,451.62466,3.32,0.0063881776,USD,False,3851200233472,0.36146,7422239624,7433166379,65238937,56182641,1755216000,1757894400,0.0088,0.00068000006,0.74547994,3.09,0.0088,7490384494,46.204,11.162237,1751241600,1782777600,1751241600,0.236,101831999488,13.51,14.95,2:1,1045526400,13.67,24.604,0.23958087,0.16766965,0.83,1755734400,EQUITY,515.74,710.0,483.0,617.5016,630.0,1.25862,strong_buy,51,94564999168,12.722,156528001024,112184000512,1.223,1.353,281723994112,32.661,37.902,0.14203,0.33280998,193893007360,61070376960,136162000896,0.237,0.181,0.68824,0.55561,0.44901,USD,MSFT,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,POSTPOST,13.51,14.95,15.55376,33.158543,2.9031982,0.005661057,64.115326,0.14196596,15,0,1.3 - Strong Buy,False,True,511108200000,0.077575,516.14,0.400085,-3.97003,510.6791 - 521.6,NasdaqGS,20148990,170.94998,0.495809,344.79 - 555.45,-39.710022,-0.07149162,23.958088,1765411200,1753905600,1761768000,1761768000,1753911000,1753911000,False,Microsoft Corporation,Microsoft Corporation,1759449597,1759435201,NMS,finmb_21835,America/New_York,EDT,-14400000,us_market,False,-0.763894,515.74,Microsoft,2.2767
2003-01-03,16.4597225189209,16.462782002008655,16.181262866090886,16.39852235150083,55546800,One Microsoft Way,Redmond,WA,98052-6399,United States,425 882 8080,https://www.microsoft.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,228000,9,5,4,2,3,1759276800,1735603200,http://www.microsoft.com/investor/default.aspx,86400,2,519.71,517.64,510.6791,521.6,519.71,517.64,510.6791,521.6,3.64,0.7,1763596800,0.2375,0.81,1.023,38.174683,34.497658,21141671,21141671,20148990,21900260,21900260,515.58,516.12,3,1,3863090823168,344.79,555.45,555.45,0.088542,13.712324,512.8368,451.62466,3.32,0.0063881776,USD,False,3851200233472,0.36146,7422239624,7433166379,65238937,56182641,1755216000,1757894400,0.0088,0.00068000006,0.74547994,3.09,0.0088,7490384494,46.204,11.162237,1751241600,1782777600,1751241600,0.236,101831999488,13.51,14.95,2:1,1045526400,13.67,24.604,0.23958087,0.16766965,0.83,1755734400,EQUITY,515.74,710.0,483.0,617.5016,630.0,1.25862,strong_buy,51,94564999168,12.722,156528001024,112184000512,1.223,1.353,281723994112,32.661,37.902,0.14203,0.33280998,193893007360,61070376960,136162000896,0.237,0.181,0.68824,0.55561,0.44901,USD,MSFT,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,POSTPOST,13.51,14.95,15.55376,33.158543,2.9031982,0.005661057,64.115326,0.14196596,15,0,1.3 - Strong Buy,False,True,511108200000,0.077575,516.14,0.400085,-3.97003,510.6791 - 521.6,NasdaqGS,20148990,170.94998,0.495809,344.79 - 555.45,-39.710022,-0.07149162,23.958088,1765411200,1753905600,1761768000,1761768000,1753911000,1753911000,False,Microsoft Corporation,Microsoft Corporation,1759449597,1759435201,NMS,finmb_21835,America/New_York,EDT,-14400000,us_market,False,-0.763894,515.74,Microsoft,2.2767
2003-01-06,16.759599685668945,16.9003592337263,16.462779674390486,16.530099965763977,59456200,One Microsoft Way,Redmond,WA,98052-6399,United States,425 882 8080,https://www.microsoft.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,228000,9,5,4,2,3,1759276800,1735603200,http://www.microsoft.com/investor/default.aspx,86400,2,519.71,517.64,510.6791,521.6,519.71,517.64,510.6791,521.6,3.64,0.7,1763596800,0.2375,0.81,1.023,38.174683,34.497658,21141671,21141671,20148990,21900260,21900260,515.58,516.12,3,1,3863090823168,344.79,555.45,555.45,0.088542,13.712324,512.8368,451.62466,3.32,0.0063881776,USD,False,3851200233472,0.36146,7422239624,7433166379,65238937,56182641,1755216000,1757894400,0.0088,0.00068000006,0.74547994,3.09,0.0088,7490384494,46.204,11.162237,1751241600,1782777600,1751241600,0.236,101831999488,13.51,14.95,2:1,1045526400,13.67,24.604,0.23958087,0.16766965,0.83,1755734400,EQUITY,515.74,710.0,483.0,617.5016,630.0,1.25862,strong_buy,51,94564999168,12.722,156528001024,112184000512,1.223,1.353,281723994112,32.661,37.902,0.14203,0.33280998,193893007360,61070376960,136162000896,0.237,0.181,0.68824,0.55561,0.44901,USD,MSFT,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,POSTPOST,13.51,14.95,15.55376,33.158543,2.9031982,0.005661057,64.115326,0.14196596,15,0,1.3 - Strong Buy,False,True,511108200000,0.077575,516.14,0.400085,-3.97003,510.6791 - 521.6,NasdaqGS,20148990,170.94998,0.495809,344.79 - 555.45,-39.710022,-0.07149162,23.958088,1765411200,1753905600,1761768000,1761768000,1753911000,1753911000,False,Microsoft Corporation,Microsoft Corporation,1759449597,1759435201,NMS,finmb_21835,America/New_York,EDT,-14400000,us_market,False,-0.763894,515.74,Microsoft,2.2767
2003-01-07,17.074777603149414,17.139037239587797,16.732058374848854,16.805497625836765,80517400,One Microsoft Way,Redmond,WA,98052-6399,United States,425 882 8080,https://www.microsoft.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,228000,9,5,4,2,3,1759276800,1735603200,http://www.microsoft.com/investor/default.aspx,86400,2,519.71,517.64,510.6791,521.6,519.71,517.64,510.6791,521.6,3.64,0.7,1763596800,0.2375,0.81,1.023,38.174683,34.497658,21141671,21141671,20148990,21900260,21900260,515.58,516.12,3,1,3863090823168,344.79,555.45,555.45,0.088542,13.712324,512.8368,451.62466,3.32,0.0063881776,USD,False,3851200233472,0.36146,7422239624,7433166379,65238937,56182641,1755216000,1757894400,0.0088,0.00068000006,0.74547994,3.09,0.0088,7490384494,46.204,11.162237,1751241600,1782777600,1751241600,0.236,101831999488,13.51,14.95,2:1,1045526400,13.67,24.604,0.23958087,0.16766965,0.83,1755734400,EQUITY,515.74,710.0,483.0,617.5016,630.0,1.25862,strong_buy,51,94564999168,12.722,156528001024,112184000512,1.223,1.353,281723994112,32.661,37.902,0.14203,0.33280998,193893007360,61070376960,136162000896,0.237,0.181,0.68824,0.55561,0.44901,USD,MSFT,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,POSTPOST,13.51,14.95,15.55376,33.158543,2.9031982,0.005661057,64.115326,0.14196596,15,0,1.3 - Strong Buy,False,True,511108200000,0.077575,516.14,0.400085,-3.97003,510.6791 - 521.6,NasdaqGS,20148990,170.94998,0.495809,344.79 - 555.45,-39.710022,-0.07149162,23.958088,1765411200,1753905600,1761768000,1761768000,1753911000,1753911000,False,Microsoft Corporation,Microsoft Corporation,1759449597,1759435201,NMS,finmb_21835,America/New_York,EDT,-14400000,us_market,False,-0.763894,515.74,Microsoft,2.2767
2003-01-08,16.597421646118164,16.998280443362592,16.557641364496035,16.943200412592265,64566000,One Microsoft Way,Redmond,WA,98052-6399,United States,425 882 8080,https://www.microsoft.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,228000,9,5,4,2,3,1759276800,1735603200,http://www.microsoft.com/investor/default.aspx,86400,2,519.71,517.64,510.6791,521.6,519.71,517.64,510.6791,521.6,3.64,0.7,1763596800,0.2375,0.81,1.023,38.174683,34.497658,21141671,21141671,20148990,21900260,21900260,515.58,516.12,3,1,3863090823168,344.79,555.45,555.45,0.088542,13.712324,512.8368,451.62466,3.32,0.0063881776,USD,False,3851200233472,0.36146,7422239624,7433166379,65238937,56182641,1755216000,1757894400,0.0088,0.00068000006,0.74547994,3.09,0.0088,7490384494,46.204,11.162237,1751241600,1782777600,1751241600,0.236,101831999488,13.51,14.95,2:1,1045526400,13.67,24.604,0.23958087,0.16766965,0.83,1755734400,EQUITY,515.74,710.0,483.0,617.5016,630.0,1.25862,strong_buy,51,94564999168,12.722,156528001024,112184000512,1.223,1.353,281723994112,32.661,37.902,0.14203,0.33280998,193893007360,61070376960,136162000896,0.237,0.181,0.68824,0.55561,0.44901,USD,MSFT,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,POSTPOST,13.51,14.95,15.55376,33.158543,2.9031982,0.005661057,64.115326,0.14196596,15,0,1.3 - Strong Buy,False,True,511108200000,0.077575,516.14,0.400085,-3.97003,510.6791 - 521.6,NasdaqGS,20148990,170.94998,0.495809,344.79 - 555.45,-39.710022,-0.07149162,23.958088,1765411200,1753905600,1761768000,1761768000,1753911000,1753911000,False,Microsoft Corporation,Microsoft Corporation,1759449597,1759435201,NMS,finmb_21835,America/New_York,EDT,-14400000,us_market,False,-0.763894,515.74,Microsoft,2.2767
2003-01-09,17.07783317565918,17.111492141432652,16.68615300675124,16.744293661068742,61808000,One Microsoft Way,Redmond,WA,98052-6399,United States,425 882 8080,https://www.microsoft.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,228000,9,5,4,2,3,1759276800,1735603200,http://www.microsoft.com/investor/default.aspx,86400,2,519.71,517.64,510.6791,521.6,519.71,517.64,510.6791,521.6,3.64,0.7,1763596800,0.2375,0.81,1.023,38.174683,34.497658,21141671,21141671,20148990,21900260,21900260,515.58,516.12,3,1,3863090823168,344.79,555.45,555.45,0.088542,13.712324,512.8368,451.62466,3.32,0.0063881776,USD,False,3851200233472,0.36146,7422239624,7433166379,65238937,56182641,1755216000,1757894400,0.0088,0.00068000006,0.74547994,3.09,0.0088,7490384494,46.204,11.162237,1751241600,1782777600,1751241600,0.236,101831999488,13.51,14.95,2:1,1045526400,13.67,24.604,0.23958087,0.16766965,0.83,1755734400,EQUITY,515.74,710.0,483.0,617.5016,630.0,1.25862,strong_buy,51,94564999168,12.722,156528001024,112184000512,1.223,1.353,281723994112,32.661,37.902,0.14203,0.33280998,193893007360,61070376960,136162000896,0.237,0.181,0.68824,0.55561,0.44901,USD,MSFT,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,POSTPOST,13.51,14.95,15.55376,33.158543,2.9031982,0.005661057,64.115326,0.14196596,15,0,1.3 - Strong Buy,False,True,511108200000,0.077575,516.14,0.400085,-3.97003,510.6791 - 521.6,NasdaqGS,20148990,170.94998,0.495809,344.79 - 555.45,-39.710022,-0.07149162,23.958088,1765411200,1753905600,1761768000,1761768000,1753911000,1753911000,False,Microsoft Corporation,Microsoft Corporation,1759449597,1759435201,NMS,finmb_21835,America/New_York,EDT,-14400000,us_market,False,-0.763894,515.74,Microsoft,2.2767
2003-01-10,17.111499786376953,17.22777997966723,16.799381172080775,16.86058016795311,67730200,One Microsoft Way,Redmond,WA,98052-6399,United States,425 882 8080,https://www.microsoft.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,228000,9,5,4,2,3,1759276800,1735603200,http://www.microsoft.com/investor/default.aspx,86400,2,519.71,517.64,510.6791,521.6,519.71,517.64,510.6791,521.6,3.64,0.7,1763596800,0.2375,0.81,1.023,38.174683,34.497658,21141671,21141671,20148990,21900260,21900260,515.58,516.12,3,1,3863090823168,344.79,555.45,555.45,0.088542,13.712324,512.8368,451.62466,3.32,0.0063881776,USD,False,3851200233472,0.36146,7422239624,7433166379,65238937,56182641,1755216000,1757894400,0.0088,0.00068000006,0.74547994,3.09,0.0088,7490384494,46.204,11.162237,1751241600,1782777600,1751241600,0.236,101831999488,13.51,14.95,2:1,1045526400,13.67,24.604,0.23958087,0.16766965,0.83,1755734400,EQUITY,515.74,710.0,483.0,617.5016,630.0,1.25862,strong_buy,51,94564999168,12.722,156528001024,112184000512,1.223,1.353,281723994112,32.661,37.902,0.14203,0.33280998,193893007360,61070376960,136162000896,0.237,0.181,0.68824,0.55561,0.44901,USD,MSFT,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,POSTPOST,13.51,14.95,15.55376,33.158543,2.9031982,0.005661057,64.115326,0.14196596,15,0,1.3 - Strong Buy,False,True,511108200000,0.077575,516.14,0.400085,-3.97003,510.6791 - 521.6,NasdaqGS,20148990,170.94998,0.495809,344.79 - 555.45,-39.710022,-0.07149162,23.958088,1765411200,1753905600,1761768000,1761768000,1753911000,1753911000,False,Microsoft Corporation,Microsoft Corporation,1759449597,1759435201,NMS,finmb_21835,America/New_York,EDT,-14400000,us_market,False,-0.763894,515.74,Microsoft,2.2767
2003-01-13,17.255321502685547,17.36548157255637,17.065602030850314,17.295101787315815,60817800,One Microsoft Way,Redmond,WA,98052-6399,United States,425 882 8080,https://www.microsoft.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,228000,9,5,4,2,3,1759276800,1735603200,http://www.microsoft.com/investor/default.aspx,86400,2,519.71,517.64,510.6791,521.6,519.71,517.64,510.6791,521.6,3.64,0.7,1763596800,0.2375,0.81,1.023,38.174683,34.497658,21141671,21141671,20148990,21900260,21900260,515.58,516.12,3,1,3863090823168,344.79,555.45,555.45,0.088542,13.712324,512.8368,451.62466,3.32,0.0063881776,USD,False,3851200233472,0.36146,7422239624,7433166379,65238937,56182641,1755216000,1757894400,0.0088,0.00068000006,0.74547994,3.09,0.0088,7490384494,46.204,11.162237,1751241600,1782777600,1751241600,0.236,101831999488,13.51,14.95,2:1,1045526400,13.67,24.604,0.23958087,0.16766965,0.83,1755734400,EQUITY,515.74,710.0,483.0,617.5016,630.0,1.25862,strong_buy,51,94564999168,12.722,156528001024,112184000512,1.223,1.353,281723994112,32.661,37.902,0.14203,0.33280998,193893007360,61070376960,136162000896,0.237,0.181,0.68824,0.55561,0.44901,USD,MSFT,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,POSTPOST,13.51,14.95,15.55376,33.158543,2.9031982,0.005661057,64.115326,0.14196596,15,0,1.3 - Strong Buy,False,True,511108200000,0.077575,516.14,0.400085,-3.97003,510.6791 - 521.6,NasdaqGS,20148990,170.94998,0.495809,344.79 - 555.45,-39.710022,-0.07149162,23.958088,1765411200,1753905600,1761768000,1761768000,1753911000,1753911000,False,Microsoft Corporation,Microsoft Corporation,1759449597,1759435201,NMS,finmb_21835,America/New_York,EDT,-14400000,us_market,False,-0.763894,515.74,Microsoft,2.2767
2003-01-14,17.43280029296875,17.44197990885974,17.194119774138848,17.236960705320843,54206400,One Microsoft Way,Redmond,WA,98052-6399,United States,425 882 8080,https://www.microsoft.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,228000,9,5,4,2,3,1759276800,1735603200,http://www.microsoft.com/investor/default.aspx,86400,2,519.71,517.64,510.6791,521.6,519.71,517.64,510.6791,521.6,3.64,0.7,1763596800,0.2375,0.81,1.023,38.174683,34.497658,21141671,21141671,20148990,21900260,21900260,515.58,516.12,3,1,3863090823168,344.79,555.45,555.45,0.088542,13.712324,512.8368,451.62466,3.32,0.0063881776,USD,False,3851200233472,0.36146,7422239624,7433166379,65238937,56182641,1755216000,1757894400,0.0088,0.00068000006,0.74547994,3.09,0.0088,7490384494,46.204,11.162237,1751241600,1782777600,1751241600,0.236,101831999488,13.51,14.95,2:1,1045526400,13.67,24.604,0.23958087,0.16766965,0.83,1755734400,EQUITY,515.74,710.0,483.0,617.5016,630.0,1.25862,strong_buy,51,94564999168,12.722,156528001024,112184000512,1.223,1.353,281723994112,32.661,37.902,0.14203,0.33280998,193893007360,61070376960,136162000896,0.237,0.181,0.68824,0.55561,0.44901,USD,MSFT,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,POSTPOST,13.51,14.95,15.55376,33.158543,2.9031982,0.005661057,64.115326,0.14196596,15,0,1.3 - Strong Buy,False,True,511108200000,0.077575,516.14,0.400085,-3.97003,510.6791 - 521.6,NasdaqGS,20148990,170.94998,0.495809,344.79 - 555.45,-39.710022,-0.07149162,23.958088,1765411200,1753905600,1761768000,1761768000,1753911000,1753911000,False,Microsoft Corporation,Microsoft Corporation,1759449597,1759435201,NMS,finmb_21835,America/New_York,EDT,-14400000,us_market,False,-0.763894,515.74,Microsoft,2.2767
2003-01-15,17.218591690063477,17.539890925726258,17.194111170209528,17.441971180901323,59622600,One Microsoft Way,Redmond,WA,98052-6399,United States,425 882 8080,https://www.microsoft.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,228000,9,5,4,2,3,1759276800,1735603200,http://www.microsoft.com/investor/default.aspx,86400,2,519.71,517.64,510.6791,521.6,519.71,517.64,510.6791,521.6,3.64,0.7,1763596800,0.2375,0.81,1.023,38.174683,34.497658,21141671,21141671,20148990,21900260,21900260,515.58,516.12,3,1,3863090823168,344.79,555.45,555.45,0.088542,13.712324,512.8368,451.62466,3.32,0.0063881776,USD,False,3851200233472,0.36146,7422239624,7433166379,65238937,56182641,1755216000,1757894400,0.0088,0.00068000006,0.74547994,3.09,0.0088,7490384494,46.204,11.162237,1751241600,1782777600,1751241600,0.236,101831999488,13.51,14.95,2:1,1045526400,13.67,24.604,0.23958087,0.16766965,0.83,1755734400,EQUITY,515.74,710.0,483.0,617.5016,630.0,1.25862,strong_buy,51,94564999168,12.722,156528001024,112184000512,1.223,1.353,281723994112,32.661,37.902,0.14203,0.33280998,193893007360,61070376960,136162000896,0.237,0.181,0.68824,0.55561,0.44901,USD,MSFT,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,POSTPOST,13.51,14.95,15.55376,33.158543,2.9031982,0.005661057,64.115326,0.14196596,15,0,1.3 - Strong Buy,False,True,511108200000,0.077575,516.14,0.400085,-3.97003,510.6791 - 521.6,NasdaqGS,20148990,170.94998,0.495809,344.79 - 555.45,-39.710022,-0.07149162,23.958088,1765411200,1753905600,1761768000,1761768000,1753911000,1753911000,False,Microsoft Corporation,Microsoft Corporation,1759449597,1759435201,NMS,finmb_21835,America/New_York,EDT,-14400000,us_market,False,-0.763894,515.74,Microsoft,2.2767
